"BehaviorSpace results (NetLogo 6.3.0)"
"Social impact theory.nlogo"
"experiment"
"04/19/2023 15:52:21:143 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","max-h","probability-of-spin-up","[step]","magnetization"
"2","100","50","128","0.8684807256235828"
"4","100","50","116","0.927437641723356"
"3","100","50","141","0.9410430839002267"
"1","100","50","114","0.6689342403628118"
"5","100","50","117","0.12018140589569161"
"2","100","50","129","0.8684807256235828"
"4","100","50","117","0.927437641723356"
"3","100","50","142","0.9410430839002267"
"2","100","50","130","0.8639455782312925"
"3","100","50","143","0.9455782312925171"
"5","100","50","118","0.1111111111111111"
"4","100","50","118","0.927437641723356"
"1","100","50","115","0.6598639455782312"
"2","100","50","131","0.8639455782312925"
"3","100","50","144","0.9546485260770975"
"5","100","50","119","0.10657596371882086"
"4","100","50","119","0.927437641723356"
"1","100","50","116","0.6598639455782312"
"3","100","50","145","0.9546485260770975"
"2","100","50","132","0.8639455782312925"
"5","100","50","120","0.12018140589569161"
"4","100","50","120","0.927437641723356"
"3","100","50","146","0.9546485260770975"
"2","100","50","133","0.8684807256235828"
"1","100","50","117","0.6598639455782312"
"5","100","50","121","0.12018140589569161"
"4","100","50","121","0.927437641723356"
"3","100","50","147","0.9591836734693877"
"2","100","50","134","0.8684807256235828"
"1","100","50","118","0.6598639455782312"
"5","100","50","122","0.12018140589569161"
"4","100","50","122","0.927437641723356"
"3","100","50","148","0.9591836734693877"
"2","100","50","135","0.8684807256235828"
"1","100","50","119","0.6598639455782312"
"5","100","50","123","0.12018140589569161"
"3","100","50","149","0.963718820861678"
"4","100","50","123","0.927437641723356"
"2","100","50","136","0.8684807256235828"
"3","100","50","150","0.963718820861678"
"1","100","50","120","0.655328798185941"
"5","100","50","124","0.12018140589569161"
"4","100","50","124","0.927437641723356"
"2","100","50","137","0.8639455782312925"
"3","100","50","151","0.9727891156462585"
"5","100","50","125","0.1111111111111111"
"1","100","50","121","0.6507936507936508"
"4","100","50","125","0.927437641723356"
"2","100","50","138","0.8639455782312925"
"3","100","50","152","0.9773242630385488"
"5","100","50","126","0.1111111111111111"
"4","100","50","126","0.927437641723356"
"2","100","50","139","0.8639455782312925"
"3","100","50","153","0.9773242630385488"
"1","100","50","122","0.6507936507936508"
"5","100","50","127","0.10657596371882086"
"3","100","50","154","0.981859410430839"
"4","100","50","127","0.927437641723356"
"2","100","50","140","0.8639455782312925"
"1","100","50","123","0.655328798185941"
"3","100","50","155","0.981859410430839"
"2","100","50","141","0.8684807256235828"
"4","100","50","128","0.927437641723356"
"5","100","50","128","0.10657596371882086"
"1","100","50","124","0.655328798185941"
"3","100","50","156","0.981859410430839"
"4","100","50","129","0.927437641723356"
"2","100","50","142","0.8684807256235828"
"5","100","50","129","0.11564625850340136"
"3","100","50","157","0.981859410430839"
"4","100","50","130","0.927437641723356"
"1","100","50","125","0.6507936507936508"
"2","100","50","143","0.8684807256235828"
"3","100","50","158","0.9773242630385488"
"5","100","50","130","0.12471655328798185"
"4","100","50","131","0.927437641723356"
"2","100","50","144","0.8684807256235828"
"1","100","50","126","0.6507936507936508"
"3","100","50","159","0.981859410430839"
"5","100","50","131","0.11564625850340136"
"2","100","50","145","0.8684807256235828"
